Date,Open,High,Low,Close,Adj Close,Return,Volume
"Mar 10, 2025","5,705.37","5,705.37","5,564.02","5,614.56","5,614.56",-0.02772,"6,409,370,000"
"Mar 7, 2025","5,726.01","5,783.01","5,666.29","5,770.20","5,770.20",0.00549,"5,705,140,000"
"Mar 6, 2025","5,785.87","5,812.08","5,711.64","5,738.52","5,738.52",-0.01814,"5,165,080,000"
"Mar 5, 2025","5,781.36","5,860.59","5,742.35","5,842.63","5,842.63",0.01104,"5,285,970,000"
"Mar 4, 2025","5,811.98","5,865.08","5,732.59","5,778.15","5,778.15",-0.01239,"6,138,110,000"
"Mar 3, 2025","5,968.33","5,986.09","5,810.91","5,849.72","5,849.72",-0.01791,"5,613,850,000"
"Feb 28, 2025","5,856.74","5,959.40","5,837.66","5,954.50","5,954.50",0.01561,"6,441,140,000"
"Feb 27, 2025","5,981.88","5,993.69","5,858.78","5,861.57","5,861.57",-0.01612,"5,057,680,000"
"Feb 26, 2025","5,970.87","6,009.82","5,932.69","5,956.06","5,956.06",0.00014,"4,869,580,000"
"Feb 25, 2025","5,982.73","5,992.65","5,908.49","5,955.25","5,955.25",-0.00470,"5,374,690,000"
"Feb 24, 2025","6,026.69","6,043.65","5,977.83","5,983.25","5,983.25",-0.00499,"4,990,120,000"
"Feb 21, 2025","6,114.10","6,114.82","6,008.56","6,013.13","6,013.13",-0.01736,"5,434,560,000"
"Feb 20, 2025","6,134.50","6,134.50","6,084.59","6,117.52","6,117.52",-0.00435,"4,813,690,000"
"Feb 19, 2025","6,117.76","6,147.43","6,111.15","6,144.15","6,144.15",0.00237,"4,562,330,000"
"Feb 18, 2025","6,121.60","6,129.63","6,099.51","6,129.58","6,129.58",0.00244,"4,684,980,000"
"Feb 14, 2025","6,115.52","6,127.47","6,107.62","6,114.63","6,114.63",-0.00007,"4,335,190,000"
"Feb 13, 2025","6,060.59","6,116.91","6,050.95","6,115.07","6,115.07",0.01032,"4,763,800,000"
"Feb 12, 2025","6,025.08","6,063.00","6,003.00","6,051.97","6,051.97",-0.00273,"4,627,960,000"
"Feb 11, 2025","6,049.32","6,076.28","6,042.34","6,068.50","6,068.50",0.00034,"4,324,880,000"
"Feb 10, 2025","6,046.40","6,073.38","6,044.84","6,066.44","6,066.44",0.00667,"4,458,760,000"
"Feb 7, 2025","6,083.13","6,101.28","6,019.96","6,025.99","6,025.99",-0.00956,"4,766,900,000"
"Feb 6, 2025","6,072.22","6,084.03","6,046.83","6,083.57","6,083.57",0.00363,"4,847,120,000"
"Feb 5, 2025","6,020.45","6,062.86","6,007.06","6,061.48","6,061.48",0.00389,"4,756,250,000"
"Feb 4, 2025","5,998.14","6,042.48","5,990.87","6,037.88","6,037.88",0.00717,"4,410,160,000"
"Feb 3, 2025","5,969.65","6,022.13","5,923.93","5,994.57","5,994.57",-0.00767,"4,797,210,000"
"Jan 31, 2025","6,096.79","6,120.91","6,030.93","6,040.53","6,040.53",-0.00507,"4,843,770,000"
"Jan 30, 2025","6,050.75","6,086.64","6,027.46","6,071.17","6,071.17",0.00525,"4,634,620,000"
"Jan 29, 2025","6,057.70","6,062.83","6,012.96","6,039.31","6,039.31",-0.00470,"4,115,310,000"
"Jan 28, 2025","6,026.97","6,074.54","5,994.63","6,067.70","6,067.70",0.00913,"4,473,640,000"
"Jan 27, 2025","5,969.04","6,017.17","5,962.92","6,012.28","6,012.28",-0.01480,"5,198,750,000"
"Jan 24, 2025","6,121.43","6,128.18","6,088.74","6,101.24","6,101.24",-0.00286,"4,214,250,000"
"Jan 23, 2025","6,076.32","6,118.73","6,074.67","6,118.71","6,118.71",0.00529,"4,432,250,000"
"Jan 22, 2025","6,081.39","6,100.81","6,076.13","6,086.37","6,086.37",0.00610,"4,323,040,000"
"Jan 21, 2025","6,014.12","6,051.51","6,006.88","6,049.24","6,049.24",0.00869,"4,702,920,000"
"Jan 17, 2025","5,995.40","6,014.96","5,978.44","5,996.66","5,996.66",0.00989,"4,366,830,000"
"Jan 16, 2025","5,963.61","5,964.69","5,930.72","5,937.34","5,937.34",-0.00212,"4,285,810,000"
"Jan 15, 2025","5,905.21","5,960.61","5,905.21","5,949.91","5,949.91",0.01798,"4,544,570,000"
"Jan 14, 2025","5,859.27","5,871.92","5,805.42","5,842.91","5,842.91",0.00114,"4,142,280,000"
"Jan 13, 2025","5,782.02","5,838.61","5,773.31","5,836.22","5,836.22",0.00157,"4,421,200,000"
"Jan 10, 2025","5,890.35","5,890.35","5,807.78","5,827.04","5,827.04",-0.01565,"4,751,930,000"
"Jan 8, 2025","5,910.66","5,927.89","5,874.78","5,918.25","5,918.25",0.00156,"4,441,740,000"
"Jan 7, 2025","5,993.26","6,000.68","5,890.68","5,909.03","5,909.03",-0.01123,"4,517,330,000"
"Jan 6, 2025","5,982.81","6,021.04","5,960.01","5,975.38","5,975.38",0.00551,"4,940,120,000"
"Jan 3, 2025","5,891.07","5,949.34","5,888.66","5,942.47","5,942.47",0.01244,"3,667,340,000"
"Jan 2, 2025","5,903.26","5,935.09","5,829.53","5,868.55","5,868.55",-0.00223,"3,621,680,000"
"Dec 31, 2024","5,919.74","5,929.74","5,868.86","5,881.63","5,881.63",-0.00430,"3,128,350,000"
"Dec 30, 2024","5,920.67","5,940.79","5,869.16","5,906.94","5,906.94",-0.01082,"3,433,250,000"
"Dec 27, 2024","6,006.17","6,006.17","5,932.95","5,970.84","5,970.84",-0.01118,"3,159,610,000"
"Dec 26, 2024","6,024.97","6,049.75","6,007.37","6,037.59","6,037.59",-0.00041,"2,904,530,000"
"Dec 24, 2024","5,984.63","6,040.10","5,981.44","6,040.04","6,040.04",0.01092,"1,757,720,000"
"Dec 23, 2024","5,940.25","5,978.25","5,902.57","5,974.07","5,974.07",0.00723,"3,593,280,000"
"Dec 20, 2024","5,842.00","5,982.06","5,832.30","5,930.85","5,930.85",0.01075,"8,223,220,000"
"Dec 19, 2024","5,912.71","5,935.52","5,866.07","5,867.08","5,867.08",-0.00087,"4,896,880,000"
"Dec 18, 2024","6,047.65","6,070.67","5,867.79","5,872.16","5,872.16",-0.03039,"5,246,960,000"
"Dec 17, 2024","6,052.55","6,057.68","6,035.19","6,050.61","6,050.61",-0.00388,"4,544,500,000"
"Dec 16, 2024","6,063.79","6,085.19","6,059.14","6,074.08","6,074.08",0.00378,"4,391,100,000"
"Dec 13, 2024","6,068.17","6,078.58","6,035.77","6,051.09","6,051.09",-0.00003,"3,584,960,000"
"Dec 12, 2024","6,074.29","6,079.68","6,051.25","6,051.25","6,051.25",-0.00544,"3,678,010,000"
"Dec 11, 2024","6,060.15","6,092.59","6,060.15","6,084.19","6,084.19",0.00810,"4,269,950,000"
"Dec 10, 2024","6,057.59","6,065.40","6,029.89","6,034.91","6,034.91",-0.00297,"4,048,410,000"
"Dec 9, 2024","6,083.01","6,088.51","6,048.63","6,052.85","6,052.85",-0.00618,"4,556,460,000"
"Dec 6, 2024","6,081.38","6,099.97","6,079.98","6,090.27","6,090.27",0.00249,"3,924,830,000"
"Dec 5, 2024","6,089.03","6,094.55","6,072.90","6,075.11","6,075.11",-0.00187,"4,212,020,000"
"Dec 4, 2024","6,069.39","6,089.84","6,061.06","6,086.49","6,086.49",0.00601,"4,003,390,000"
"Dec 3, 2024","6,042.97","6,052.07","6,033.39","6,049.88","6,049.88",0.00045,"4,095,000,000"
"Dec 2, 2024","6,040.11","6,053.58","6,035.33","6,047.15","6,047.15",0.00244,"4,412,470,000"
"Nov 29, 2024","6,003.98","6,044.17","6,003.98","6,032.38","6,032.38",0.00558,"2,444,420,000"
"Nov 27, 2024","6,014.11","6,020.16","5,984.87","5,998.74","5,998.74",-0.00382,"3,363,340,000"
"Nov 26, 2024","6,000.03","6,025.42","5,992.27","6,021.63","6,021.63",0.00569,"3,835,170,000"
"Nov 25, 2024","5,992.28","6,020.75","5,963.91","5,987.37","5,987.37",0.00301,"5,633,150,000"
"Nov 22, 2024","5,944.36","5,972.90","5,944.36","5,969.34","5,969.34",0.00346,"4,141,420,000"
"Nov 21, 2024","5,940.58","5,963.32","5,887.26","5,948.71","5,948.71",0.00531,"4,230,120,000"
"Nov 20, 2024","5,914.34","5,920.67","5,860.56","5,917.11","5,917.11",0.00002,"3,772,620,000"
"Nov 19, 2024","5,870.05","5,923.51","5,855.29","5,916.98","5,916.98",0.00395,"4,036,940,000"
"Nov 18, 2024","5,874.17","5,908.12","5,865.95","5,893.62","5,893.62",0.00390,"3,983,860,000"
"Nov 15, 2024","5,912.79","5,915.32","5,853.01","5,870.62","5,870.62",-0.01338,"4,590,960,000"
"Nov 14, 2024","5,989.68","5,993.88","5,942.28","5,949.17","5,949.17",-0.00609,"4,184,570,000"
"Nov 13, 2024","5,985.75","6,008.19","5,965.91","5,985.38","5,985.38",0.00023,"4,220,180,000"
"Nov 12, 2024","6,003.60","6,009.92","5,960.08","5,983.99","5,983.99",-0.00290,"4,243,400,000"
"Nov 11, 2024","6,008.86","6,017.31","5,986.69","6,001.35","6,001.35",0.00097,"4,333,000,000"
"Nov 8, 2024","5,976.76","6,012.45","5,976.76","5,995.54","5,995.54",0.00374,"4,666,740,000"
"Nov 7, 2024","5,947.21","5,983.84","5,947.21","5,973.10","5,973.10",0.00738,"4,925,740,000"
"Nov 6, 2024","5,864.89","5,936.14","5,864.89","5,929.04","5,929.04",0.02467,"6,329,530,000"
"Nov 5, 2024","5,722.43","5,783.44","5,722.10","5,782.76","5,782.76",0.01212,"3,768,310,000"
"Nov 4, 2024","5,725.15","5,741.43","5,696.51","5,712.69","5,712.69",-0.00282,"3,602,060,000"
"Nov 1, 2024","5,723.22","5,772.52","5,723.22","5,728.80","5,728.80",0.00408,"3,796,450,000"
"Oct 31, 2024","5,775.34","5,775.34","5,702.86","5,705.45","5,705.45",-0.01897,"4,425,660,000"
"Oct 30, 2024","5,832.65","5,850.94","5,811.28","5,813.67","5,813.67",-0.00331,"3,851,120,000"
"Oct 29, 2024","5,819.68","5,847.19","5,802.17","5,832.92","5,832.92",0.00161,"3,879,100,000"
"Oct 28, 2024","5,833.93","5,842.92","5,823.08","5,823.52","5,823.52",0.00264,"3,691,280,000"
"Oct 25, 2024","5,826.75","5,862.82","5,799.98","5,808.12","5,808.12",-0.00030,"3,501,280,000"
"Oct 24, 2024","5,817.80","5,817.80","5,784.92","5,809.86","5,809.86",0.00214,"3,543,030,000"
"Oct 23, 2024","5,834.50","5,834.85","5,762.41","5,797.42","5,797.42",-0.00928,"3,532,650,000"
"Oct 22, 2024","5,832.70","5,863.04","5,821.17","5,851.20","5,851.20",-0.00048,"3,342,080,000"
"Oct 21, 2024","5,857.82","5,866.92","5,824.79","5,853.98","5,853.98",-0.00183,"3,407,010,000"
"Oct 18, 2024","5,859.43","5,872.17","5,846.11","5,864.67","5,864.67",0.00396,"3,374,490,000"
"Oct 17, 2024","5,875.62","5,878.46","5,840.25","5,841.47","5,841.47",-0.00017,"3,480,010,000"
"Oct 16, 2024","5,816.58","5,846.52","5,808.34","5,842.47","5,842.47",0.00466,"3,467,230,000"
"Oct 15, 2024","5,866.74","5,870.36","5,804.48","5,815.26","5,815.26",-0.00767,"3,882,120,000"
"Oct 14, 2024","5,829.81","5,871.41","5,829.57","5,859.85","5,859.85",0.00765,"3,005,250,000"
"Oct 11, 2024","5,775.09","5,822.13","5,775.09","5,815.03","5,815.03",0.00602,"3,208,720,000"
"Oct 10, 2024","5,778.36","5,795.03","5,764.76","5,780.05","5,780.05",-0.00207,"3,208,790,000"
"Oct 9, 2024","5,751.80","5,796.80","5,745.02","5,792.04","5,792.04",0.00706,"3,650,340,000"
"Oct 8, 2024","5,719.14","5,757.60","5,714.56","5,751.13","5,751.13",0.00960,"3,393,400,000"
"Oct 7, 2024","5,737.80","5,739.34","5,686.85","5,695.94","5,695.94",-0.00968,"3,637,790,000"
"Oct 4, 2024","5,737.48","5,753.21","5,702.83","5,751.07","5,751.07",0.00889,"3,479,400,000"
"Oct 3, 2024","5,698.19","5,718.78","5,677.37","5,699.94","5,699.94",-0.00168,"3,597,450,000"
"Oct 2, 2024","5,698.14","5,719.63","5,674.00","5,709.54","5,709.54",0.00014,"3,829,050,000"
"Oct 1, 2024","5,757.73","5,757.73","5,681.28","5,708.75","5,708.75",-0.00941,"4,025,180,000"
"Sep 30, 2024","5,726.52","5,765.14","5,703.53","5,762.48","5,762.48",0.00422,"4,425,730,000"
"Sep 27, 2024","5,755.36","5,763.78","5,727.34","5,738.17","5,738.17",-0.00125,"3,898,530,000"
"Sep 26, 2024","5,762.22","5,767.37","5,721.01","5,745.37","5,745.37",0.00402,"4,391,180,000"
"Sep 25, 2024","5,733.65","5,741.03","5,712.06","5,722.26","5,722.26",-0.00186,"3,624,910,000"
"Sep 24, 2024","5,727.66","5,735.32","5,698.99","5,732.93","5,732.93",0.00250,"3,872,710,000"
"Sep 23, 2024","5,711.90","5,725.36","5,704.22","5,718.57","5,718.57",0.00280,"3,529,550,000"
"Sep 20, 2024","5,709.64","5,715.14","5,674.49","5,702.55","5,702.55",-0.00194,"7,867,260,000"
"Sep 19, 2024","5,702.63","5,733.57","5,686.42","5,713.64","5,713.64",0.01669,"4,024,530,000"
"Sep 18, 2024","5,641.68","5,689.75","5,615.08","5,618.26","5,618.26",-0.00290,"3,691,390,000"
"Sep 17, 2024","5,655.51","5,670.81","5,614.05","5,634.58","5,634.58",0.00026,"3,443,600,000"
"Sep 16, 2024","5,615.21","5,636.05","5,604.53","5,633.09","5,633.09",0.00126,"3,437,070,000"
"Sep 13, 2024","5,603.34","5,636.27","5,601.65","5,626.02","5,626.02",0.00538,"3,500,790,000"
"Sep 12, 2024","5,557.48","5,600.71","5,535.50","5,595.76","5,595.76",0.00744,"3,655,070,000"
"Sep 11, 2024","5,496.42","5,560.41","5,406.96","5,554.13","5,554.13",0.01055,"3,839,450,000"
"Sep 10, 2024","5,490.51","5,497.91","5,441.72","5,495.52","5,495.52",0.00445,"3,848,180,000"
"Sep 9, 2024","5,442.07","5,484.20","5,434.49","5,471.05","5,471.05",0.01145,"3,825,940,000"
"Sep 6, 2024","5,507.33","5,522.47","5,402.62","5,408.42","5,408.42",-0.01756,"3,822,800,000"
"Sep 5, 2024","5,520.08","5,546.30","5,480.54","5,503.41","5,503.41",-0.00303,"3,521,650,000"
"Sep 4, 2024","5,506.68","5,552.99","5,503.66","5,520.07","5,520.07",-0.00161,"3,478,140,000"
"Sep 3, 2024","5,623.89","5,623.89","5,504.33","5,528.93","5,528.93",-0.02161,"3,866,350,000"
"Aug 30, 2024","5,612.74","5,651.37","5,581.79","5,648.40","5,648.40",0.00999,"4,185,850,000"
"Aug 29, 2024","5,607.30","5,646.95","5,583.71","5,591.96","5,591.96",-0.00004,"3,065,640,000"
"Aug 28, 2024","5,624.51","5,627.03","5,560.95","5,592.18","5,592.18",-0.00601,"3,053,450,000"
"Aug 27, 2024","5,602.89","5,631.18","5,593.48","5,625.80","5,625.80",0.00159,"2,798,990,000"
"Aug 26, 2024","5,639.66","5,651.62","5,602.34","5,616.84","5,616.84",-0.00316,"2,938,570,000"
"Aug 23, 2024","5,602.49","5,641.82","5,585.16","5,634.61","5,634.61",0.01135,"3,291,940,000"
"Aug 22, 2024","5,637.77","5,643.22","5,560.95","5,570.64","5,570.64",-0.00901,"2,981,530,000"
"Aug 21, 2024","5,603.09","5,632.68","5,591.57","5,620.85","5,620.85",0.00422,"3,119,670,000"
"Aug 20, 2024","5,602.88","5,620.51","5,585.50","5,597.12","5,597.12",-0.00199,"2,994,420,000"
"Aug 19, 2024","5,557.23","5,608.30","5,550.74","5,608.25","5,608.25",0.00963,"3,222,050,000"
"Aug 16, 2024","5,530.50","5,561.98","5,525.17","5,554.25","5,554.25",0.00199,"3,357,690,000"
"Aug 15, 2024","5,501.13","5,546.23","5,501.13","5,543.22","5,543.22",0.01588,"3,723,310,000"
"Aug 14, 2024","5,442.36","5,463.22","5,415.91","5,455.21","5,455.21",0.00381,"3,380,050,000"
"Aug 13, 2024","5,376.98","5,436.50","5,376.98","5,434.43","5,434.43",0.01657,"3,648,980,000"
"Aug 12, 2024","5,351.88","5,371.20","5,324.37","5,344.39","5,344.39",0.00004,"3,360,160,000"
"Aug 9, 2024","5,314.66","5,358.67","5,300.84","5,344.16","5,344.16",0.00465,"3,516,400,000"
"Aug 8, 2024","5,252.57","5,328.03","5,233.85","5,319.31","5,319.31",0.02252,"4,016,830,000"
"Aug 7, 2024","5,293.13","5,330.64","5,195.54","5,199.50","5,199.50",-0.00779,"4,558,260,000"
"Aug 6, 2024","5,206.42","5,312.34","5,193.56","5,240.03","5,240.03",0.01025,"4,690,190,000"
"Aug 5, 2024","5,151.14","5,250.89","5,119.26","5,186.33","5,186.33",-0.03089,"5,333,250,000"
"Aug 2, 2024","5,376.63","5,383.89","5,302.03","5,346.56","5,346.56",-0.01873,"5,156,450,000"
"Aug 1, 2024","5,537.84","5,566.16","5,410.42","5,446.68","5,446.68",-0.01388,"4,703,620,000"
"Jul 31, 2024","5,505.59","5,551.51","5,493.75","5,522.30","5,522.30",0.01555,"4,546,910,000"
"Jul 30, 2024","5,478.73","5,489.46","5,401.70","5,436.44","5,436.44",-0.00498,"3,777,740,000"
"Jul 29, 2024","5,476.55","5,487.74","5,444.44","5,463.54","5,463.54",0.00081,"3,379,970,000"
"Jul 26, 2024","5,433.67","5,488.32","5,430.70","5,459.10","5,459.10",0.01097,"3,638,770,000"
"Jul 25, 2024","5,428.70","5,491.59","5,390.95","5,399.22","5,399.22",-0.00517,"4,592,120,000"
"Jul 24, 2024","5,505.84","5,508.04","5,419.98","5,427.13","5,427.13",-0.02370,"3,945,550,000"
"Jul 23, 2024","5,565.30","5,585.34","5,550.90","5,555.74","5,555.74",-0.00156,"3,500,210,000"
"Jul 22, 2024","5,544.54","5,570.36","5,529.04","5,564.41","5,564.41",0.01068,"3,375,180,000"
"Jul 19, 2024","5,543.37","5,557.50","5,497.04","5,505.00","5,505.00",-0.00719,"3,760,570,000"
"Jul 18, 2024","5,608.56","5,614.05","5,522.81","5,544.59","5,544.59",-0.00788,"4,007,510,000"
"Jul 17, 2024","5,610.07","5,622.49","5,584.81","5,588.27","5,588.27",-0.01412,"4,246,450,000"
"Jul 16, 2024","5,644.09","5,669.67","5,639.02","5,667.20","5,667.20",0.00635,"4,041,760,000"
"Jul 15, 2024","5,638.16","5,666.94","5,614.75","5,631.22","5,631.22",0.00282,"3,620,470,000"
"Jul 12, 2024","5,590.76","5,655.56","5,590.44","5,615.35","5,615.35",0.00549,"3,700,280,000"
"Jul 11, 2024","5,635.21","5,642.45","5,576.53","5,584.54","5,584.54",-0.00884,"4,020,950,000"
"Jul 10, 2024","5,591.26","5,635.39","5,586.44","5,633.91","5,633.91",0.01010,"3,336,100,000"
"Jul 9, 2024","5,584.24","5,590.75","5,574.57","5,576.98","5,576.98",0.00074,"3,232,920,000"
"Jul 8, 2024","5,572.75","5,583.11","5,562.51","5,572.85","5,572.85",0.00102,"3,185,670,000"
"Jul 5, 2024","5,537.91","5,570.33","5,531.63","5,567.19","5,567.19",0.00542,"3,253,080,000"
"Jul 3, 2024","5,507.44","5,539.27","5,507.42","5,537.02","5,537.02",0.00506,"2,179,470,000"
"Jul 2, 2024","5,461.84","5,509.69","5,458.43","5,509.01","5,509.01",0.00616,"3,329,950,000"
"Jul 1, 2024","5,471.08","5,479.55","5,446.53","5,475.09","5,475.09",0.00267,"3,488,760,000"
"Jun 28, 2024","5,488.48","5,523.64","5,451.12","5,460.48","5,460.48",-0.00410,"7,199,220,000"
"Jun 27, 2024","5,473.59","5,490.81","5,467.54","5,482.87","5,482.87",0.00091,"3,589,530,000"
"Jun 26, 2024","5,460.71","5,483.14","5,451.87","5,477.90","5,477.90",0.00157,"3,563,920,000"
"Jun 25, 2024","5,460.73","5,472.88","5,446.56","5,469.30","5,469.30",0.00392,"3,591,960,000"
"Jun 24, 2024","5,459.58","5,490.66","5,447.59","5,447.87","5,447.87",-0.00307,"3,696,750,000"
"Jun 21, 2024","5,466.77","5,478.31","5,452.03","5,464.62","5,464.62",-0.00156,"6,773,800,000"
"Jun 20, 2024","5,499.99","5,505.53","5,455.56","5,473.17","5,473.17",-0.00253,"3,847,060,000"
"Jun 18, 2024","5,476.15","5,490.38","5,471.32","5,487.03","5,487.03",0.00252,"3,544,330,000"
"Jun 17, 2024","5,431.11","5,488.50","5,420.40","5,473.23","5,473.23",0.00761,"3,447,840,000"
"Jun 14, 2024","5,424.08","5,432.39","5,403.75","5,431.60","5,431.60",-0.00039,"3,438,650,000"
"Jun 13, 2024","5,441.93","5,441.93","5,402.51","5,433.74","5,433.74",0.00234,"3,530,380,000"
"Jun 12, 2024","5,409.13","5,447.25","5,409.13","5,421.03","5,421.03",0.00843,"3,962,840,000"
"Jun 11, 2024","5,353.00","5,375.95","5,327.25","5,375.32","5,375.32",0.00270,"3,568,030,000"
"Jun 10, 2024","5,341.22","5,365.79","5,331.52","5,360.79","5,360.79",0.00257,"3,622,280,000"
"Jun 7, 2024","5,343.81","5,375.08","5,331.33","5,346.99","5,346.99",-0.00112,"3,692,760,000"
"Jun 6, 2024","5,357.80","5,362.35","5,335.36","5,352.96","5,352.96",-0.00020,"3,609,990,000"
"Jun 5, 2024","5,314.48","5,354.16","5,297.64","5,354.03","5,354.03",0.01171,"3,591,460,000"
"Jun 4, 2024","5,278.24","5,298.80","5,257.63","5,291.34","5,291.34",0.00150,"3,707,900,000"
"Jun 3, 2024","5,297.15","5,302.11","5,234.32","5,283.40","5,283.40",0.00111,"4,046,920,000"
"May 31, 2024","5,243.21","5,280.33","5,191.68","5,277.51","5,277.51",0.00796,"5,437,160,000"
"May 30, 2024","5,259.77","5,260.21","5,222.10","5,235.48","5,235.48",-0.00601,"3,818,750,000"
"May 29, 2024","5,278.73","5,282.27","5,262.70","5,266.95","5,266.95",-0.00742,"3,552,750,000"
"May 28, 2024","5,315.91","5,315.91","5,280.89","5,306.04","5,306.04",0.00025,"3,751,540,000"
"May 24, 2024","5,281.45","5,311.65","5,278.39","5,304.72","5,304.72",0.00695,"3,005,510,000"
"May 23, 2024","5,340.26","5,341.88","5,256.93","5,267.84","5,267.84",-0.00744,"3,869,520,000"
"May 22, 2024","5,319.28","5,323.18","5,286.01","5,307.01","5,307.01",-0.00271,"3,847,130,000"
"May 21, 2024","5,298.69","5,324.32","5,297.87","5,321.41","5,321.41",0.00250,"3,662,240,000"
"May 20, 2024","5,305.35","5,325.32","5,302.40","5,308.13","5,308.13",0.00092,"3,420,100,000"
"May 17, 2024","5,303.10","5,305.45","5,283.59","5,303.27","5,303.27",0.00116,"3,578,120,000"
"May 16, 2024","5,310.07","5,325.49","5,296.19","5,297.10","5,297.10",-0.00209,"3,817,470,000"
"May 15, 2024","5,263.26","5,311.76","5,263.26","5,308.15","5,308.15",0.01158,"4,360,810,000"
"May 14, 2024","5,221.10","5,250.37","5,217.98","5,246.68","5,246.68",0.00481,"4,763,580,000"
"May 13, 2024","5,233.08","5,237.26","5,211.16","5,221.42","5,221.42",-0.00024,"4,255,710,000"
"May 10, 2024","5,225.49","5,239.66","5,209.68","5,222.68","5,222.68",0.00165,"3,617,900,000"
"May 9, 2024","5,189.03","5,215.30","5,180.41","5,214.08","5,214.08",0.00507,"3,727,370,000"
"May 8, 2024","5,168.98","5,191.95","5,165.86","5,187.67","5,187.67",-0.00001,"3,842,100,000"
"May 7, 2024","5,187.20","5,200.23","5,178.96","5,187.70","5,187.70",0.00134,"3,987,890,000"
"May 6, 2024","5,142.42","5,181.00","5,142.42","5,180.74","5,180.74",0.01022,"3,683,250,000"
"May 3, 2024","5,122.78","5,139.12","5,101.22","5,127.79","5,127.79",0.01240,"3,924,990,000"
"May 2, 2024","5,049.32","5,073.21","5,011.05","5,064.20","5,064.20",0.00905,"4,381,660,000"
"May 1, 2024","5,029.03","5,096.12","5,013.45","5,018.39","5,018.39",-0.00345,"4,544,170,000"
"Apr 30, 2024","5,103.78","5,110.83","5,035.31","5,035.69","5,035.69",-0.01598,"4,082,470,000"
"Apr 29, 2024","5,114.13","5,123.49","5,088.65","5,116.17","5,116.17",0.00317,"3,447,450,000"
"Apr 26, 2024","5,084.65","5,114.62","5,073.14","5,099.96","5,099.96",0.01011,"3,604,140,000"
"Apr 25, 2024","5,019.88","5,057.75","4,990.58","5,048.42","5,048.42",-0.00460,"3,958,050,000"
"Apr 24, 2024","5,084.86","5,089.48","5,047.02","5,071.63","5,071.63",0.00021,"3,656,740,000"
"Apr 23, 2024","5,028.85","5,076.12","5,027.96","5,070.55","5,070.55",0.01182,"3,751,400,000"
"Apr 22, 2024","4,987.33","5,038.84","4,969.40","5,010.60","5,010.60",0.00866,"3,820,250,000"
"Apr 19, 2024","5,005.44","5,019.02","4,953.56","4,967.23","4,967.23",-0.00884,"3,878,750,000"
"Apr 18, 2024","5,031.52","5,056.66","5,001.89","5,011.12","5,011.12",-0.00221,"3,619,760,000"
"Apr 17, 2024","5,068.97","5,077.96","5,007.25","5,022.21","5,022.21",-0.00581,"3,596,130,000"
